g, e, u
-1,0.80827063,0.00553151764755022
-.75,0.8889904,0.0034662502548358804
-.5, 0.9525569, 0.0023299337259248066
-.25, 0.9871775,0.00437766671428103
0, 1.0017622,0.0012676075621424361
.25, 0.988382,0.0016782612949803105
.5, 0.94431376,0.001548012673268541
.75, 0.8677425,0.0018997872546014853
1, 0.7679138,0.0023329310836666096
